"","Top1_Hotel","Top2_Hotel","Top3_Hotel","Top4_Hotel","Top5_Hotel"
"57920","107195","171631","182839","543930","675673"
"142145","75444","25428","38266","43980","118117"
"186729","55703","148132","158466","253792","271787"
"187580","53692","83814","171631","304189","367491"
"195580","75382","191404","237017","253650","305809"
"195859","188347","262394","297220","438089","505804"
"201541","50523","53692","55621","55703","67841"
"216385","55256","62015","226121","623734","744386"
"241336","82748","283170","283621","402353","443698"
"262799","43109","55703","193038","311124","408794"
"270282","55621","108890","141708","291752","294468"
"294984","84057","97221","118117","169356","272597"
"306166","29051","38266","49552","50518","64736"
"312863","52490","141708","212050","221943","309436"
"358394","55709","247805","549310","593101","675886"
"389681","319985","623734","741043","771343","807269"
"399461","49552","50518","53067","83498","199844"
"424325","107972","182839","262394","370870","390894"
"453818","50523","148132","214531","311694","590681"
"458267","158466","198307","255177","255202","307497"
"468497","2818","53671","57978","108890","152280"
"494281","205759","219276","345397","481664","485237"
"505271","56879","271787","356424","434097","440992"
"510307","50515","214531","289071","514946","593483"
"521338","254800","291752","331946","370870","447151"
"522491","379885","414917","593101","582280","189754"
"531200","203658","276275","502869","675886","728144"
"532034","69042","236180","370870","467103","498514"
"534213","43109","58211","73917","141708","265349"
"549167","107195","169356","254104","305809","340994"
"571678","118302","175989","226121","437757","517092"
"619612","277011","544506","582028","760035","255809"
"627962","25428","446592","620056","68873","362458"
"662664","44391","188347","589194","780674","52490"
"673543","55256","304189","350271","445660","568005"
"692831","2818","50515","53671","55703","62015"
"699671","50515","645579","667928","794322","43980"
"739084","758475","44129","294468","779297","83814"
"750244","38266","50518","304082","306852","362458"
"796812","68873","76668","82482","414917","438089"
"798559","62015","118097","221943","379885","431635"
"808981","118302","250702","414917","422044","450767"
"887792","510836","788351","801544","474452","564826"
"913549","25428","31080","43980","50515","52490"
"922621","44391","48076","533623","667928","715856"
"934348","20168","53692","101618","107195","118117"
"950010","274688","480245","27886","237017","571029"
"965667","29051","55709","96048","169356","205759"
"995697","55703","55807","179528","272597","367491"
"1005087","82748","158466","307470","402353","553514"
"1008875","56879","137026","485237","634170","689623"
"1023895","2818","20168","25428","29051","42970"
"1030587","48076","52490","150634","188347","255809"
"1094489","67841","294468","485237","553216","571029"
"1135786","44391","107972","199844","236180","302426"
"1139469","43980","44391","255177","304189","609202"
"1141485","254800","563682","582121","621108","639981"
"1178877","108890","627213","652888","744386","555225"
"1185852","53067","58211","67841","282269","311584"
"1211966","174592","247805","314235","505012","714520"
"1219810","31080","38266","118097","255202","305200"
"1221415","80635","305200","600983","608432","29051"
"1221888","58211","62801","73208","101618","118117"
"1256454","28871","42970","50570","174592","304082"
"1259411","62015","73917","107972","108890","152280"
"1271678","431635","528594","665250","676922","314235"
"1283321","42970","82748","255809","480245","38266"
"1305208","165833","174592","431635","561713","641875"
"1308801","219276","443698","715799","742634","184282"
"1312133","50518","115795","422044","515921","561022"
"1319480","289071","663390","705423","783348","43109"
"1325697","247805","320689","505012","600983","62015"
"1336633","67841","271787","431206","432233","485237"
"1337152","44391","169356","198307","205759","305200"
"1337537","57978","83814","522471","690757","44391"
"1347048","2818","46386","82748","203658","286374"
"1350388","48076","107195","171054","400325","442105"
"1352286","754020","297220","301220","310722","551606"
"1365084","653596","714243","722997","732509","740995"
"1406783","130390","245927","579851","588288","667305"
"1421901","55256","137026","198307","283621","311584"
"1448980","584938","50570","63872","101618","169356"
"1464510","2818","49552","58211","190943","217692"
"1468271","169356","250751","613110","787331","53671"
"1477191","253650","306852","311694","800723","38266"
"1486411","73917","83498","222516","282269","370870"
"1488099","31080","42970","384909","555399","561022"
"1500608","25428","44129","165833","402353","410998"
"1501819","49552","730916","42970","76668","96048"
"1502797","29051","169356","175989","390894","406794"
"1518360","118117","55621","55709","64736","67841"
"1539253","581342","665134","75444","118302","150634"
"1542832","137026","294468","442105","652660","696113"
"1552059","379143","38266","43980","53692","101618"
